time,alpha,beta,gamma,delta
0.000,-0.0029,0.5697,0.3344,0.3140
0.010,0.0413,0.5954,0.3584,0.2986
0.020,0.0827,0.6724,0.3696,0.3264
0.030,0.1420,0.7041,0.3613,0.2775
0.040,0.1736,0.7427,0.3858,0.2859
0.050,0.2167,0.6820,0.3855,0.2839
0.060,0.2579,0.6801,0.4038,0.2613
0.070,0.2870,0.6165,0.4099,0.2049
0.080,0.2464,0.5635,0.3802,0.2284
0.090,0.3357,0.4755,0.4132,0.1641
0.100,0.3406,0.4110,0.3940,0.1717
0.110,0.3714,0.3399,0.3980,0.1347
0.120,0.3590,0.2396,0.3667,0.1039
0.130,0.3765,0.2322,0.3487,0.0405
0.140,0.4042,0.1605,0.3620,0.0480
0.150,0.4226,0.0946,0.3084,-0.0097
0.160,0.4170,0.0508,0.3205,-0.0228
0.170,0.3946,0.0953,0.3127,-0.0083
0.180,0.4162,0.0850,0.2693,-0.0957
0.190,0.4261,0.1132,0.2571,-0.0855
0.200,0.3970,0.1516,0.1981,-0.1400
0.210,0.4061,0.1983,0.2340,-0.1328
0.220,0.4307,0.2194,0.2058,-0.1246
0.230,0.4415,0.2102,0.1751,-0.1404
0.240,0.4739,0.2282,0.1682,-0.1563
0.250,0.4975,0.2108,0.0902,-0.1681
0.260,0.4819,0.1970,0.0877,-0.1234
0.270,0.4596,0.1243,0.0529,-0.1352
0.280,0.5194,0.0358,0.0465,-0.1277
0.290,0.5507,-0.0225,-0.0267,-0.0920
0.300,0.5904,-0.1658,-0.0431,-0.0828
0.310,0.6368,-0.2318,-0.0312,-0.0232
0.320,0.6779,-0.3424,-0.1082,0.0109
0.330,0.7172,-0.4224,-0.1143,0.0525
0.340,0.7442,-0.4306,-0.1606,0.0690
0.350,0.7187,-0.4777,-0.1920,0.1606
0.360,0.7598,-0.4916,-0.2451,0.1544
0.370,0.8032,-0.4787,-0.2090,0.2045
0.380,0.7985,-0.4664,-0.2505,0.2585
0.390,0.8263,-0.4209,-0.2805,0.3056
0.400,0.8814,-0.3923,-0.2962,0.3766
0.410,0.8723,-0.3704,-0.3178,0.4038
0.420,0.8770,-0.3190,-0.3123,0.4023
0.430,0.8431,-0.2987,-0.3459,0.4363
0.440,0.8937,-0.2825,-0.3827,0.4916
0.450,0.8671,-0.3317,-0.3639,0.5097
0.460,0.8472,-0.3172,-0.3713,0.5245
0.470,0.8580,-0.3503,-0.4012,0.5650
0.480,0.8353,-0.3828,-0.4279,0.5881
0.490,0.8122,-0.4977,-0.3541,0.5862
0.500,0.8448,-0.5768,-0.3844,0.5841
0.510,0.7671,-0.6375,-0.3941,0.6006
0.520,0.7195,-0.6620,-0.3866,0.6294
